user_id,archetype,signup_date,assigned_professor,timer_experiment,question_experiment,notification_experiment,total_events,last_active_date,total_sessions,avg_session_duration_sec,funnel_max_stage,days_active,quiz_attempts,quiz_pass_rate
u_00001,power_user,2025-01-07,prof_004,timer,5_questions,notification,462,2025-04-01,79,58483.22784810127,7,82,55.0,0.9636363636363636
u_00002,power_user,2025-01-10,prof_008,timer,3_questions,notification,423,2025-03-31,72,65215.444444444445,7,76,50.0,0.98
u_00003,power_user,2025-01-05,prof_019,no_timer,3_questions,notification,477,2025-04-01,82,50086.03658536585,7,85,59.0,0.7627118644067796
u_00004,power_user,2025-01-12,prof_003,timer,3_questions,notification,434,2025-04-01,72,65596.08333333333,7,77,54.0,0.9444444444444444
u_00005,power_user,2025-01-09,prof_018,timer,5_questions,notification,378,2025-03-31,70,49495.37142857143,7,75,44.0,0.9318181818181818
u_00006,power_user,2025-01-05,prof_015,no_timer,3_questions,notification,471,2025-04-01,74,75285.08108108108,7,79,63.0,0.9365079365079365
u_00007,power_user,2025-01-08,prof_014,no_timer,5_questions,notification,365,2025-04-01,75,48238.386666666665,7,81,42.0,0.8571428571428571
u_00008,power_user,2025-01-10,prof_007,no_timer,3_questions,notification,440,2025-03-31,72,62869.041666666664,7,76,55.0,0.9090909090909091
u_00009,power_user,2025-01-10,prof_013,timer,5_questions,no_notification,381,2025-04-01,64,58987.984375,7,71,47.0,0.9787234042553191
u_00010,power_user,2025-01-02,prof_020,no_timer,3_questions,no_notification,446,2025-04-01,77,58368.38961038961,7,85,55.0,0.8727272727272727
u_00011,power_user,2025-01-13,prof_018,timer,5_questions,notification,391,2025-04-02,74,49081.45945945946,7,77,44.0,0.9318181818181818
u_00012,power_user,2025-01-08,prof_018,no_timer,5_questions,notification,422,2025-04-01,73,51880.79452054795,7,80,52.0,0.8653846153846154
u_00013,power_user,2025-01-10,prof_003,timer,3_questions,no_notification,361,2025-04-01,58,70321.1551724138,7,65,46.0,0.9565217391304348
u_00014,power_user,2025-01-08,prof_003,timer,3_questions,no_notification,386,2025-04-02,66,56349.621212121216,7,74,45.0,0.9777777777777777
u_00015,power_user,2025-01-03,prof_009,no_timer,5_questions,notification,419,2025-03-31,83,40053.34939759036,7,84,47.0,0.8085106382978723
u_00016,power_user,2025-01-14,prof_012,no_timer,3_questions,no_notification,418,2025-03-31,68,64938.91176470588,7,73,52.0,0.9423076923076923
u_00017,power_user,2025-01-13,prof_003,timer,3_questions,notification,385,2025-04-01,66,55817.530303030304,7,71,46.0,0.9347826086956522
u_00018,power_user,2025-01-04,prof_015,no_timer,5_questions,notification,504,2025-03-31,82,69071.69512195123,7,86,66.0,0.9242424242424242
u_00019,power_user,2025-01-04,prof_011,timer,3_questions,notification,499,2025-04-01,78,62696.10256410256,7,83,66.0,0.9545454545454546
u_00020,power_user,2025-01-10,prof_011,no_timer,5_questions,notification,411,2025-04-01,69,52481.79710144927,7,77,50.0,0.9
u_00021,power_user,2025-01-12,prof_007,no_timer,3_questions,no_notification,385,2025-04-01,64,60957.078125,7,71,48.0,0.8125
u_00022,power_user,2025-01-09,prof_013,no_timer,3_questions,no_notification,361,2025-03-31,60,45821.816666666666,7,68,44.0,0.8863636363636364
u_00023,power_user,2025-01-04,prof_005,timer,5_questions,no_notification,291,2025-04-01,62,38407.854838709674,7,69,30.0,1.0
u_00024,power_user,2025-01-14,prof_019,no_timer,5_questions,notification,352,2025-04-01,69,44759.72463768116,7,74,39.0,0.9230769230769231
u_00025,power_user,2025-01-06,prof_005,no_timer,3_questions,notification,417,2025-03-31,79,40237.91139240506,7,81,48.0,0.7708333333333334
u_00026,power_user,2025-01-10,prof_004,timer,3_questions,no_notification,316,2025-03-31,60,51594.15,7,70,33.0,0.9696969696969697
u_00027,power_user,2025-01-06,prof_020,timer,5_questions,no_notification,416,2025-04-02,72,60940.694444444445,7,78,51.0,0.9411764705882353
u_00028,power_user,2025-01-05,prof_020,no_timer,5_questions,notification,412,2025-03-31,75,53533.68,7,78,47.0,0.9148936170212766
u_00029,power_user,2025-01-11,prof_004,no_timer,5_questions,notification,351,2025-04-01,66,44403.242424242424,7,70,42.0,0.8333333333333334
u_00030,power_user,2025-01-02,prof_010,no_timer,3_questions,no_notification,399,2025-04-02,66,52924.69696969697,7,75,51.0,0.8235294117647058
u_00031,power_user,2025-01-13,prof_001,no_timer,3_questions,notification,459,2025-04-01,75,59112.50666666667,7,78,58.0,0.9137931034482759
u_00032,power_user,2025-01-03,prof_010,timer,3_questions,no_notification,394,2025-04-01,67,65096.91044776119,7,74,45.0,1.0
u_00033,power_user,2025-01-07,prof_006,timer,5_questions,no_notification,309,2025-04-01,55,62965.145454545454,7,68,38.0,1.0
u_00034,power_user,2025-01-10,prof_001,timer,5_questions,no_notification,401,2025-04-01,69,49003.34782608696,7,77,49.0,0.9183673469387755
u_00035,power_user,2025-01-11,prof_008,timer,3_questions,notification,439,2025-04-01,72,61443.77777777778,7,78,54.0,0.9444444444444444
u_00036,power_user,2025-01-04,prof_003,no_timer,3_questions,notification,464,2025-04-01,76,49499.23684210526,7,82,59.0,0.7627118644067796
u_00037,power_user,2025-01-08,prof_005,no_timer,3_questions,no_notification,390,2025-03-31,66,35853.181818181816,7,72,49.0,0.7142857142857143
u_00038,power_user,2025-01-09,prof_017,no_timer,3_questions,notification,439,2025-03-31,74,60165.21621621621,7,78,53.0,0.9622641509433962
u_00039,power_user,2025-01-09,prof_010,no_timer,5_questions,no_notification,276,2025-03-30,52,49872.942307692305,7,61,31.0,0.9032258064516129
u_00040,power_user,2025-01-03,prof_017,no_timer,3_questions,notification,429,2025-03-31,76,44238.48684210526,7,80,52.0,0.7692307692307693
u_00041,power_user,2025-01-07,prof_008,timer,5_questions,notification,333,2025-03-31,75,32406.253333333334,7,76,33.0,0.9090909090909091
u_00042,power_user,2025-01-08,prof_019,timer,3_questions,notification,432,2025-04-01,75,61610.76,7,80,50.0,1.0
u_00043,power_user,2025-01-01,prof_003,timer,3_questions,notification,498,2025-04-01,84,58530.25,7,86,61.0,0.9344262295081968
u_00044,power_user,2025-01-12,prof_002,no_timer,3_questions,notification,374,2025-04-01,65,49538.92307692308,7,74,44.0,0.9090909090909091
u_00045,power_user,2025-01-05,prof_009,no_timer,3_questions,notification,390,2025-03-31,69,44769.97101449275,7,78,44.0,0.8636363636363636
u_00046,power_user,2025-01-05,prof_019,no_timer,3_questions,no_notification,352,2025-03-31,63,47175.46031746032,7,72,40.0,0.875
u_00047,power_user,2025-01-10,prof_014,timer,3_questions,notification,424,2025-04-01,75,54177.16,7,76,48.0,0.9375
u_00048,power_user,2025-01-06,prof_014,no_timer,5_questions,no_notification,329,2025-04-01,66,44303.621212121216,7,72,38.0,0.8947368421052632
u_00049,power_user,2025-01-08,prof_015,timer,3_questions,notification,416,2025-03-31,75,53761.16,7,79,48.0,0.8125
u_00050,power_user,2025-01-07,prof_013,no_timer,3_questions,notification,411,2025-03-31,67,56838.0447761194,7,75,52.0,0.8653846153846154
u_00051,power_user,2025-01-07,prof_007,timer,5_questions,notification,407,2025-04-01,73,61719.21917808219,7,76,46.0,1.0
u_00052,power_user,2025-01-14,prof_014,timer,5_questions,no_notification,309,2025-04-01,54,43794.833333333336,7,61,35.0,0.9142857142857143
u_00053,power_user,2025-01-07,prof_008,timer,5_questions,notification,467,2025-04-01,75,59830.8,7,81,60.0,0.95
u_00054,power_user,2025-01-01,prof_002,timer,3_questions,notification,493,2025-04-01,83,58337.2891566265,7,88,59.0,0.9322033898305084
u_00055,power_user,2025-01-12,prof_006,no_timer,5_questions,no_notification,349,2025-04-02,62,46838.403225806454,7,70,41.0,0.7804878048780488
u_00056,power_user,2025-01-14,prof_007,no_timer,3_questions,notification,376,2025-03-31,66,46976.21212121212,7,70,47.0,0.723404255319149
u_00057,power_user,2025-01-01,prof_013,timer,5_questions,no_notification,331,2025-04-01,71,46222.211267605635,7,77,33.0,0.9696969696969697
u_00058,power_user,2025-01-10,prof_015,no_timer,5_questions,no_notification,360,2025-04-01,60,56202.566666666666,7,64,45.0,0.8888888888888888
u_00059,power_user,2025-01-02,prof_005,timer,5_questions,notification,419,2025-04-01,77,57982.03896103896,7,82,51.0,0.9411764705882353
u_00060,power_user,2025-01-05,prof_002,timer,5_questions,notification,439,2025-04-01,77,54723.831168831166,7,81,52.0,0.9230769230769231
u_00061,power_user,2025-01-05,prof_002,no_timer,3_questions,notification,451,2025-03-31,78,61144.307692307695,7,80,53.0,0.9433962264150944
u_00062,power_user,2025-01-04,prof_017,timer,3_questions,notification,453,2025-04-02,78,61999.6282051282,7,80,54.0,0.9259259259259259
u_00063,power_user,2025-01-05,prof_020,timer,3_questions,no_notification,384,2025-04-01,66,53655.93939393939,7,74,46.0,0.9565217391304348
u_00064,power_user,2025-01-13,prof_004,timer,3_questions,notification,420,2025-03-31,67,67958.13432835821,7,74,54.0,0.9259259259259259
u_00065,power_user,2025-01-08,prof_014,no_timer,5_questions,notification,454,2025-04-01,75,63671.22666666667,7,79,55.0,0.9272727272727272
u_00066,power_user,2025-01-11,prof_011,timer,5_questions,no_notification,405,2025-03-31,68,60049.35294117647,7,72,51.0,0.9215686274509803
u_00067,power_user,2025-01-01,prof_005,no_timer,5_questions,no_notification,446,2025-03-31,73,53995.86301369863,7,81,58.0,0.8620689655172413
u_00068,power_user,2025-01-03,prof_003,timer,5_questions,notification,412,2025-03-31,74,49332.95945945946,7,83,51.0,0.9411764705882353
u_00069,power_user,2025-01-13,prof_003,timer,5_questions,notification,379,2025-04-01,73,52616.068493150684,7,76,43.0,0.9534883720930233
u_00070,power_user,2025-01-05,prof_012,timer,3_questions,no_notification,384,2025-04-01,62,69532.33870967742,7,71,49.0,0.9183673469387755
u_00071,power_user,2025-01-02,prof_010,timer,5_questions,no_notification,368,2025-04-01,74,47478.7027027027,7,79,42.0,0.9523809523809523
u_00072,power_user,2025-01-12,prof_020,timer,5_questions,notification,391,2025-03-31,71,47459.281690140844,7,74,48.0,1.0
u_00073,power_user,2025-01-01,prof_005,no_timer,3_questions,notification,455,2025-03-31,77,58087.01298701299,7,83,57.0,0.8245614035087719
u_00074,power_user,2025-01-03,prof_018,timer,5_questions,no_notification,397,2025-04-01,72,45479.291666666664,7,80,48.0,0.8958333333333334
u_00075,power_user,2025-01-05,prof_020,timer,5_questions,notification,397,2025-04-02,81,50766.88888888889,7,85,44.0,1.0
u_00076,power_user,2025-01-05,prof_009,no_timer,5_questions,notification,449,2025-03-30,78,56755.91025641026,7,81,53.0,0.9245283018867925
u_00077,power_user,2025-01-07,prof_003,no_timer,5_questions,notification,442,2025-04-02,73,51418.479452054795,7,79,54.0,0.9629629629629629
u_00078,power_user,2025-01-01,prof_001,no_timer,3_questions,no_notification,428,2025-04-02,69,67411.69565217392,7,80,55.0,0.9272727272727272
u_00079,power_user,2025-01-05,prof_006,no_timer,5_questions,notification,436,2025-03-31,78,59240.0641025641,7,81,53.0,1.0
u_00080,power_user,2025-01-06,prof_004,timer,3_questions,notification,444,2025-04-02,77,65003.896103896106,7,85,51.0,1.0
u_00081,power_user,2025-01-11,prof_012,timer,5_questions,notification,361,2025-03-31,71,47214.619718309856,7,74,43.0,0.9534883720930233
u_00082,power_user,2025-01-02,prof_002,no_timer,5_questions,notification,476,2025-04-01,83,60298.27710843374,7,86,58.0,0.9655172413793104
u_00083,power_user,2025-01-13,prof_012,timer,3_questions,notification,409,2025-03-31,71,60287.281690140844,7,74,50.0,0.9
u_00084,power_user,2025-01-01,prof_012,no_timer,3_questions,notification,500,2025-04-02,81,69362.76543209876,7,84,64.0,0.890625
u_00085,power_user,2025-01-04,prof_006,timer,5_questions,notification,387,2025-04-02,73,48024.602739726026,7,77,43.0,1.0
u_00086,power_user,2025-01-11,prof_006,no_timer,5_questions,notification,413,2025-04-02,69,50607.14492753623,7,75,52.0,0.8269230769230769
u_00087,power_user,2025-01-12,prof_009,timer,3_questions,no_notification,309,2025-03-30,55,49011.36363636364,7,61,35.0,0.9142857142857143
u_00088,power_user,2025-01-05,prof_002,no_timer,3_questions,notification,472,2025-04-02,79,53630.417721518985,7,85,57.0,0.9298245614035088
u_00089,power_user,2025-01-12,prof_015,no_timer,5_questions,notification,379,2025-03-31,71,40009.380281690144,7,72,44.0,0.9090909090909091
u_00090,power_user,2025-01-09,prof_008,timer,3_questions,no_notification,432,2025-03-30,70,68490.8,7,76,54.0,0.9259259259259259
u_00091,power_user,2025-01-01,prof_011,no_timer,3_questions,no_notification,421,2025-03-31,73,57230.260273972606,7,78,49.0,0.9387755102040817
u_00092,power_user,2025-01-09,prof_012,no_timer,5_questions,notification,438,2025-04-02,75,43988.066666666666,7,77,53.0,0.8301886792452831
u_00093,power_user,2025-01-07,prof_004,no_timer,3_questions,no_notification,380,2025-03-31,61,57348.83606557377,7,66,48.0,0.9583333333333334
u_00094,power_user,2025-01-05,prof_002,timer,5_questions,no_notification,398,2025-03-31,65,60757.95384615385,7,72,50.0,0.92
u_00095,power_user,2025-01-01,prof_011,no_timer,3_questions,no_notification,417,2025-04-01,69,68286.71014492754,7,78,51.0,0.9607843137254902
u_00096,power_user,2025-01-02,prof_019,timer,5_questions,notification,446,2025-04-02,85,44128.35294117647,7,87,49.0,0.8979591836734694
u_00097,power_user,2025-01-06,prof_014,timer,3_questions,no_notification,322,2025-03-30,54,62490.5,7,66,39.0,0.9230769230769231
u_00098,power_user,2025-01-07,prof_014,timer,5_questions,no_notification,393,2025-04-01,64,72294.46875,7,74,49.0,0.9591836734693877
u_00099,power_user,2025-01-06,prof_004,no_timer,5_questions,no_notification,352,2025-03-31,63,54782.380952380954,7,73,41.0,0.9512195121951219
u_00100,power_user,2025-01-11,prof_011,no_timer,5_questions,notification,377,2025-03-31,74,35193.87837837838,7,75,43.0,0.6744186046511628
u_00101,power_user,2025-01-12,prof_007,no_timer,5_questions,notification,329,2025-03-31,70,45087.22857142857,7,73,35.0,0.9142857142857143
u_00102,power_user,2025-01-10,prof_020,no_timer,5_questions,notification,441,2025-04-01,76,51723.55263157895,7,78,53.0,0.9056603773584906
u_00103,power_user,2025-01-02,prof_010,no_timer,3_questions,no_notification,382,2025-03-30,64,58941.078125,7,70,47.0,0.8723404255319149
u_00104,power_user,2025-01-11,prof_019,no_timer,5_questions,no_notification,336,2025-04-02,65,47011.338461538464,7,69,39.0,0.9743589743589743
u_00105,power_user,2025-01-03,prof_015,timer,5_questions,notification,479,2025-04-01,78,60589.820512820515,7,84,60.0,0.9
u_00106,power_user,2025-01-03,prof_003,no_timer,5_questions,notification,414,2025-04-01,79,53325.39240506329,7,84,49.0,0.8775510204081632
u_00107,power_user,2025-01-02,prof_008,no_timer,3_questions,notification,469,2025-03-31,81,49338.345679012345,7,82,57.0,0.8245614035087719
u_00108,power_user,2025-01-09,prof_005,timer,3_questions,notification,427,2025-04-02,73,56750.27397260274,7,80,50.0,0.96
u_00109,power_user,2025-01-01,prof_016,timer,5_questions,no_notification,390,2025-03-31,74,57442.40540540541,7,76,47.0,0.9361702127659575
u_00110,power_user,2025-01-08,prof_019,timer,5_questions,no_notification,398,2025-03-31,72,51652.444444444445,7,76,46.0,0.9565217391304348
u_00111,power_user,2025-01-13,prof_013,timer,3_questions,notification,421,2025-04-01,69,59435.014492753624,7,74,53.0,0.9433962264150944
u_00112,power_user,2025-01-12,prof_004,no_timer,3_questions,notification,430,2025-03-31,72,57216.319444444445,7,75,56.0,0.8035714285714286
